Name,Age,Hometown,Season
"Curtis Finch, Jr.",24,"St. Louis, Missouri",12
Paul Jolley,23,"Palmersville, Tennessee",12
Devin Velez,18,"Chicago, Illinois",12
Burnell Taylor,19,"New Orleans, Louisiana",12
Lazaro Arbos,22,"Naples, Florida",12
Janelle Arthur,23,"Oliver Springs, Tennessee",12
Amber Holcomb,19,"Houston, Texas",12
Angie Miller,19,"Beverly, Massachusetts",12
Kree Harrison,22,"Woodville, Texas",12
Candice Glover,23,"St. Helena Island, South Carolina",12
Kristen O'Connor,24,"Sebastian, Florida",13
Emily Piriz,18,"Orlando, Florida",13
Ben Briley,24,"Gallatin, Tennessee",13
MK Nobilette,20,"San Francisco, California",13
Majesty Rose,21,"Goldsboro, North Carolina",13
Malaya Watson,16,"Southfield, Michigan",13
Dexter Roberts,22,"Fayette, Alabama",13
C.J. Harris,23,"Jasper, Alabama",13
Sam Woolf,17,"Bradenton, Florida",13
Jess Meuse,23,"Slapout, Alabama",13
Alex Preston,20,"Mont Vernon, New Hampshire",13
Jena Irene,17,"Farmington Hills, Michigan",13
Caleb Johnson,23,"Asheville, North Carolina",13
Sarina-Joi Crowe,19,"Columbia, Tennessee",14
Adanna Duru,18,"Diamond Bar, California",14
Maddie Walker,17,"Ankeny, Iowa",14
Daniel Seavey,15,"Portland, Oregon",14
Qaasim Middleton,19,"Brooklyn, New York",14
Joey Cook,23,"Woodbridge, Virginia",14
Quentin Alexander,20,"New Orleans, Louisiana",14
Tyanna Jones,16,"Jacksonville, Florida",14
Rayvon Owen,23,"Richmond, Virginia",14
JAX,19,"East Brunswick, New Jersey",14
Clark Beckham,22,"White House, Tennessee",14
Nick Fradiani,29,"Guilford, Connecticut",14
Gianna Isabella,15,"Jackson, New Jersey",15
Olivia Rox,17,"Agoura Hills, California",15
Avalon Young,21,"San Diego, California",15
Lee Jean,16,"Bluffton, South Carolina",15
Tristan McIntosh,15,"Nashville, Tennessee",15
Sonika Vaid,20,"Martha's Vineyard, Massachusetts",15
MacKenzie Bourg,23,"Lafayette, Louisiana",15
Dalton Rapattoni,20,"Dallas, Texas",15
La'Porsha Renae,22,"McComb, Mississippi",15
Trent Harmon,26,"Amory, Mississippi",15
Ada Vox,24,"San Antonio, Texas",16
Dennis Lorenzo,26,"Philadelphia, Pennsylvania",16
Michelle Sussett,22,"Miami, Florida",16
Catie Turner,17,"Langhorne, Pennsylvania",16
Jurnee,18,"Denver, Colorado",16
Cade Foehner,21,"Shelbyville, Texas",16
Michael J. Woodard,20,"Philadelphia, Pennsylvania",16
Gabby Barrett,17,"Pittsburgh, Pennsylvania",16
Caleb Lee Hutchinson,19,"Dallas, Georgia",16
Maddie Poppe,20,"Clarksville, Iowa",16
Dimitrius Graham,27,"Baltimore, Maryland",17
Uché,24,"Sugarland, Texas",17
Alyssa Raghu,17,"Orlando, Florida",17
Walker Burroughs,20,"Birmingham, Alabama",17
Jeremiah Lloyd Harmon,26,"Catonsville, Maryland",17
Laci Kaye Booth,23,"Livingston, Texas",17
Wade Cota,27,"Phoenix, Arizona",17
Madison VanDenburg,17,"Cohoes, New York",17
Alejandro Aranda,24,"Pomona, California",17
Laine Hardy,18,"Livingston, Louisiana",17
Grace Leer,28,"Danville, California",18
Jovin Webb,29,"Gonzales, Louisiana",18
Makayla Phillips,17,"Temecula, California",18
Sophia James,20,"Long Beach, California",18
Julia Gargano,22,"Staten Island, New York",18
Louis Knight,19,"Philadelphia, Pennsylvania",18
Dillon James,27,"Bakersfield, California",18
Francisco Martin,19,"San Francisco, California",18
Jonny West,23,"Murrieta, California",18
Arthur Gunn,22,"Wichita, Kansas",18
Just Sam,21,"Harlem, New York",18
Ava August,15,"Laguna Niguel, California",19
Beane,23,"Brighton, Massachusetts",19
Madison Watkins,25,"Fayetteville, Arkansas",19
Alyssa Wray,19,"Perryville, Kentucky",19
Cassandra Coleman,24,"Columbia, Tennessee",19
DeShawn Goncalves,20,"Cleveland, Ohio",19
Arthur Gunn[b],23,"Wichita, Kansas",19
Hunter Metts,22,"Franklin, Tennessee",19
Caleb Kennedy,16,"Roebuck, South Carolina",19
Casey Bishop,16,"Estero, Florida",19
Grace Kinstler,20,"Lakewood, Illinois",19
Willie Spence,21,"Douglas, Georgia",19
Chayce Beckham,24,"Apple Valley, California",19
Allegra Miles,18,"Saint John, U.S. Virgin Islands",20
Ava Maybee,20,"Los Angeles, California",20
Dan Marshall,24,"Chesapeake, Virginia",20
Tristen Gressett,17,"Pell City, Alabama",20
Emyrson Flora,16,"Cleveland, Ohio",20
Lady K.,25,"Tuskegee, Alabama",20
Mike Parker,27,"Warrenton, Virginia",20
Christian Guardino,21,"Patchogue, New York",20
Jay,23,"Salisbury, Maryland",20
Fritz Hager,22,"Tyler, Texas",20
Nicolina,18,"Toronto, Ontario, Canada",20
Leah Marlene,20,"Normal, Illinois",20
HunterGirl,23,"Winchester, Tennessee",20
Noah Thompson,21,"Louisa, Kentucky",20
Lucy Love,28,"Holly Grove, Arkansas",21
Nutsa,25,"Tbilisi, Europe",21
Marybeth Byrd,21,"Armorel, Arkansas",21
Tyson Venegas,17,"Vancouver, Canada",21
Haven Madison,16,"Clarksville, Tennessee",21
Oliver Steele,25,"Mount Juliet, Tennessee",21
Warren Peay,24,"Bamberg, South Carolina",21
Wé Ani,23,"Harlem, New York",21
Zachariah Smith,19,"Amory, Mississippi",21
Colin Stough,18,"Amory, Mississippi",21
Megan Danielle,20,"Douglasville, Georgia",21
Iam Tongi,18,"Kahuku, Hawaii",21
Jordan Anthony,19,"Perth, Australia",22
Nya,28,"Manhattan, New York",22
Roman Collins,24,"Long Beach, California",22
Jayna Elise,22,"Washington, District of Columbia",22
KAYKO,23,"Fort Lauderdale, Florida",22
Mia Matthews,19,"Centre, Alabama",22
Kaibrienne,20,"Henefer, Utah",22
Julia Gagnon,21,"Cumberland, Maine",22
McKenna Faith Breinholt,25,"Gilbert, Arizona",22
Emmy Russell,25,"Nashville, Tennessee",22
Triston Harper,15,"McIntosh, Alabama",22
Jack Blocker,25,"Dallas, Texas",22
Will Moseley,23,"Hazlehurst, Georgia",22
Abi Carter,21,"Indio, California",22
